epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,47.2134,1.30282,0.63908,1,1.18376,0.000235817,0.000235817,0.000235817
2,88.5234,0.97483,0.74713,1,1.07621,0.000426909,0.000426909,0.000426909
3,127.628,0.79712,0.7908,1,0.99965,0.000570877,0.000570877,0.000570877
4,164.903,0.64984,0.82759,1,0.94669,0.000501942,0.000501942,0.000501942
5,202.758,0.59438,0.85747,1,0.91356,0.000431256,0.000431256,0.000431256
6,239.522,0.54669,0.87126,1,0.89755,0.00036057,0.00036057,0.00036057
7,275.746,0.50125,0.84138,1,0.93892,0.000289884,0.000289884,0.000289884
8,312.081,0.51158,0.85057,1,0.91914,0.000219198,0.000219198,0.000219198
9,355.328,0.49053,0.87356,1,0.90614,0.000148512,0.000148512,0.000148512
10,399.795,0.45166,0.87126,1,0.89941,7.7826e-05,7.7826e-05,7.7826e-05
