epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1790.81,3.41061,4.97212,4.07156,0.00067,0.25481,0.00767,0.00316,2.83826,5.45439,3.72205,0.000412844,0.000412844,0.000412844
2,3152.04,2.87269,4.14544,3.28002,0.35862,0.27518,0.12221,0.04682,2.38325,4.47216,2.96863,0.000796662,0.000796662,0.000796662
3,4347.02,2.55919,3.37608,2.85329,0.43255,0.11956,0.10645,0.04365,2.30934,4.34919,2.95965,0.00114748,0.00114748,0.00114748
4,5821.71,2.30619,2.80748,2.6292,0.52592,0.46366,0.36264,0.1676,2.03546,3.29557,2.60925,0.0011015,0.0011015,0.0011015
5,7383.57,2.16698,2.47653,2.49808,0.6868,0.43158,0.46256,0.19264,2.05424,2.62303,2.60375,0.001052,0.001052,0.001052
6,8506.44,2.02162,2.13889,2.35651,0.67348,0.4656,0.54202,0.27817,1.79677,2.15994,2.31863,0.0010025,0.0010025,0.0010025
7,9727.23,1.96461,2.0021,2.28136,0.64532,0.61897,0.64711,0.34602,1.70994,1.80117,2.23965,0.000953,0.000953,0.000953
8,12797.1,1.88641,1.88844,2.21918,0.68709,0.59248,0.65033,0.34174,1.7228,1.69535,2.2587,0.0009035,0.0009035,0.0009035
9,48563.5,1.82,1.77543,2.1381,0.71052,0.65774,0.72279,0.38647,1.63371,1.55804,2.16168,0.000854,0.000854,0.000854
10,49740.8,1.77258,1.66067,2.10099,0.77277,0.6465,0.72441,0.40003,1.63304,1.48624,2.13806,0.0008045,0.0008045,0.0008045
11,50945,1.7543,1.63471,2.07317,0.78587,0.66392,0.75389,0.40864,1.64687,1.44433,2.14179,0.000755,0.000755,0.000755
12,52008.8,1.72526,1.57843,2.03266,0.70422,0.67964,0.73335,0.3767,1.7347,1.61887,2.16813,0.0007055,0.0007055,0.0007055
13,53130,1.71151,1.51142,2.0204,0.73852,0.71123,0.78334,0.42938,1.61832,1.32784,2.08035,0.000656,0.000656,0.000656
14,74279.9,1.65357,1.46429,1.98085,0.79336,0.69945,0.78609,0.42584,1.62364,1.30688,2.06541,0.0006065,0.0006065,0.0006065
15,78368.9,1.62894,1.42172,1.94054,0.78653,0.74292,0.78413,0.44019,1.5695,1.29714,2.01506,0.000557,0.000557,0.000557
16,103489,1.59994,1.35584,2.04111,0.78095,0.7186,0.7685,0.41866,1.62085,1.35698,2.07899,0.0005075,0.0005075,0.0005075
17,104811,1.53605,1.23386,1.99546,0.85834,0.70845,0.80923,0.46981,1.51315,1.24544,1.99521,0.000458,0.000458,0.000458
18,106146,1.53262,1.18367,1.99321,0.81771,0.74758,0.81271,0.46632,1.52807,1.195,1.99345,0.0004085,0.0004085,0.0004085
19,107215,1.48561,1.13356,1.94619,0.86084,0.73094,0.83558,0.48648,1.49839,1.14371,1.94591,0.000359,0.000359,0.000359
20,108276,1.46866,1.1011,1.9493,0.80959,0.78498,0.83159,0.47511,1.51863,1.11925,1.97536,0.0003095,0.0003095,0.0003095
21,109229,1.45426,1.09393,1.92341,0.82691,0.77648,0.8467,0.49957,1.4808,1.0808,1.93172,0.00026,0.00026,0.00026
22,110199,1.43653,1.02992,1.89466,0.81949,0.80055,0.85667,0.50582,1.49224,1.07379,1.94058,0.0002105,0.0002105,0.0002105
23,111213,1.41853,1.00829,1.874,0.8311,0.82199,0.85997,0.5079,1.51094,1.04502,1.96498,0.000161,0.000161,0.000161
24,112325,1.40802,0.99371,1.8679,0.83937,0.82592,0.86618,0.51571,1.47504,1.03255,1.93205,0.0001115,0.0001115,0.0001115
25,135573,1.38119,0.96331,1.85614,0.83409,0.82519,0.86879,0.51732,1.4673,1.01543,1.91726,6.2e-05,6.2e-05,6.2e-05
